Symbol,Description,Sector,Industry
ASMIY,ASM International N.V.,Producer manufacturing,Industrial machinery
CUKPF,Carnival Plc,Consumer services,Hotels/Resorts/Cruise lines
TRUMF,Terumo Corp.,Health technology,Medical specialties
STT,State Street Corporation,Finance,Investment banks/Brokers
STT/PG,"State Street Corporation Depositary shares, each representing a 1/4,000th ownership interest in a share of Fixed-to-Floating Rate Non-Cumulative",Finance,Investment banks/Brokers
GWLLF,"Great Wall Motor Company, Ltd.",Consumer durables,Motor vehicles
CHLSY,CHOCOLADEFABRIKEN LINDT & SPRUENGLI AG,Consumer non-durables,Food: specialty/candy
ASMXF,ASM International N.V.,Producer manufacturing,Industrial machinery
TPL,Texas Pacific Land Corporation,Miscellaneous,Investment trusts/Mutual funds
PUBGY,Publicis Groupe S.A.,Commercial services,Advertising/Marketing services
TTNDF,Techtronic Industries Ltd.,Consumer durables,Tools & hardware
SSEZF,SSE Plc,Utilities,Electric utilities
LDSVF,Lindt & Sprungli AG,Consumer non-durables,Food: specialty/candy
GWLLY,"Great Wall Motor Company, Ltd.",Consumer durables,Motor vehicles
BRDCF,Bridgestone Corp.,Consumer durables,Automotive aftermarket
PGPEF,Publicis Groupe S.A.,Commercial services,Advertising/Marketing services
AWK,"American Water Works Company, Inc.",Utilities,Water utilities
TTNDY,Techtronic Industries Ltd.,Consumer durables,Tools & hardware
UAL,"United Airlines Holdings, Inc.",Transportation,Airlines
PHM,"PulteGroup, Inc.",Consumer durables,Homebuilding
KEYS,Keysight Technologies Inc.,Electronic technology,Electronic equipment/Instruments
FUJIF,FUJIFILM Holdings Corp.,Health technology,Medical specialties
EQR,Equity Residential,Finance,Real estate investment trusts
ADM,Archer-Daniels-Midland Company,Process industries,Agricultural commodities/Milling
HPE,Hewlett Packard Enterprise Company,Electronic technology,Computer processing hardware
HPE/PC,Hewlett Packard Enterprise Company 7.625% Series C Mandatory Convertible Preferred Stock,Electronic technology,Computer processing hardware
KUASF,KUAISHOU TECHNOLOGY,Technology services,Information technology services
AIPUF,"Airports of Thailand Public Co., Ltd.",Transportation,Other transportation
AIPUY,"Airports of Thailand Public Co., Ltd.",Transportation,Other transportation
DOV,Dover Corporation,Producer manufacturing,Industrial machinery
WIGBY,Wisetech Global,Technology services,Packaged software
TYL,"Tyler Technologies, Inc.",Technology services,Data processing services
SSUMF,Sumitomo Corp.,Distribution services,Wholesale distributors
KSHTY,KUAISHOU TECHNOLOGY,Technology services,Information technology services
DNKEY,Danske Bank A/S,Finance,Major banks
BDORY,Banco Do Brasil SA,Finance,Major banks
IMBBY,Imperial Brands PLC,Consumer non-durables,Tobacco
CHD,"Church & Dwight Company, Inc.",Consumer non-durables,Household/Personal care
ORXCF,ORIX Corp.,Finance,Finance/Rental/Leasing
IMBBF,Imperial Brands PLC,Consumer non-durables,Tobacco
HXGBF,Hexagon AB,Electronic technology,Electronic equipment/Instruments
BIIB,Biogen Inc.,Health technology,Pharmaceuticals: major
HXGBY,Hexagon AB,Electronic technology,Electronic equipment/Instruments
SSUMY,Sumitomo Corp.,Distribution services,Wholesale distributors
SSEZY,SSE Plc,Utilities,Electric utilities
VLTO,Veralto Corp,Technology services,Information technology services
DTE,DTE Energy Company,Utilities,Electric utilities
DTW,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,Utilities,Electric utilities
DTB,DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080,Utilities,Electric utilities
DTG,DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures,Utilities,Electric utilities
CDW,CDW Corporation,Technology services,Information technology services
MARUY,Marubeni Corp.,Process industries,Agricultural commodities/Milling
TROW,"T. Rowe Price Group, Inc.",Finance,Investment managers
GIB,CGI Inc.,Technology services,Information technology services
LI,Li Auto Inc.,Consumer durables,Motor vehicles
FANUY,Fanuc Corporation,Producer manufacturing,Industrial machinery
FTV,Fortive Corporation,Electronic technology,Electronic equipment/Instruments
SAXPF,Sampo OYJ,Finance,Property/Casualty insurance
BRDCY,Bridgestone Corp.,Consumer durables,Automotive aftermarket
SAXPY,Sampo OYJ,Finance,Property/Casualty insurance
BR,"Broadridge Financial Solutions, Inc.",Technology services,Information technology services
SBGOF,Standard Bank Group Ltd.,Finance,Regional banks
CRBJY,China Resources Land Ltd.,Finance,Real estate development
ARLUF,Aristocrat Leisure Ltd.,Consumer services,Casinos/Gaming
FANDY,Firstrand Limited,Finance,Major banks
HAL,Halliburton Company,Industrial services,Oilfield services/Equipment
PPLAF,Pembina Pipeline Corp.,Industrial services,Oil & gas pipelines
SDVKY,Sandvik AB,Producer manufacturing,Trucks/Construction/Farm machinery
LDOS,"Leidos Holdings, Inc.",Electronic technology,Aerospace & defense
BBD,Banco Bradesco Sa,Finance,Major banks
BBDO,Banco Bradesco Sa,Finance,Major banks
DNSKF,Danske Bank A/S,Finance,Major banks
CQP,"Cheniere Energy Partners, LP",Utilities,Gas distributors
STM,STMicroelectronics N.V.,Electronic technology,Semiconductors
PBA,Pembina Pipeline Corp.,Industrial services,Oil & gas pipelines
PBNAF,Pembina Pipeline Corp.,Industrial services,Oil & gas pipelines
KMTUF,Komatsu Ltd.,Producer manufacturing,Trucks/Construction/Farm machinery
KMTUY,Komatsu Ltd.,Producer manufacturing,Trucks/Construction/Farm machinery
GASNY,Naturgy Energy Group SA,Utilities,Electric utilities
FE,FirstEnergy Corp.,Utilities,Electric utilities
MARUF,Marubeni Corp.,Process industries,Agricultural commodities/Milling
DECK,Deckers Outdoor Corporation,Consumer non-durables,Apparel/Footwear
FANDF,Firstrand Limited,Finance,Major banks
DVN,Devon Energy Corporation,Energy minerals,Integrated oil
RWEOY,RWE AG,Utilities,Electric utilities
IX,Orix Corp,Finance,Finance/Rental/Leasing
MGDDY,CIE GENERALE DES ETABLISSEMENTS MICHELIN SA CLERMONT-FERRAND,Consumer durables,Automotive aftermarket
AVIFY,"Advanced Info Service Public Co., Ltd.",Communications,Wireless telecommunications
HNNMY,Hennes & Mauritz AB,Retail trade,Apparel/Footwear retail
NTAP,"NetApp, Inc.",Electronic technology,Computer peripherals
DLICY,"Dai-ichi Life Holdings, Inc.",Finance,Life/Health insurance
SWDBF,Swedbank AB,Finance,Major banks
VEOEF,Veolia Environnement,Utilities,Water utilities
MGDDF,CIE GENERALE DES ETABLISSEMENTS MICHELIN SA CLERMONT-FERRAND,Consumer durables,Automotive aftermarket
STMEF,STMicroelectronics N.V.,Electronic technology,Semiconductors
SZLMY,Swiss Life Holding,Finance,Life/Health insurance
HMRZF,Hennes & Mauritz AB,Retail trade,Apparel/Footwear retail
TTDKY,TDK Corp.,Electronic technology,Electronic components
SWSDF,Swiss Life Holding,Finance,Life/Health insurance
FANUF,Fanuc Corporation,Producer manufacturing,Industrial machinery
ZM,"Zoom Video Communications, Inc.",Technology services,Packaged software
VEOEY,Veolia Environnement,Utilities,Water utilities
BAH,Booz Allen Hamilton Holding Corporation,Commercial services,Miscellaneous commercial services
RNECY,Renesas Electronics Corp,Electronic technology,Semiconductors
HSNGY,Hang Seng Bank Ltd.,Finance,Regional banks
ANFGF,Antofagasta plc,Non-energy minerals,Other metals/Minerals
WAT,Waters Corporation,Health technology,Medical specialties
ROL,"Rollins, Inc.",Consumer services,Other consumer services
WST,"West Pharmaceutical Services, Inc.",Health technology,Medical specialties
AEE,Ameren Corporation,Utilities,Electric utilities
CPAY,"Corpay, Inc.",Commercial services,Miscellaneous commercial services
ELEZY,Endesa S.A.,Utilities,Electric utilities
HUBB,Hubbell Inc,Producer manufacturing,Electrical products
SWDBY,Swedbank AB,Finance,Major banks
WTCHF,Wisetech Global,Technology services,Packaged software
EJPRF,East Japan Railway Co.,Transportation,Railroads
SGBLY,Standard Bank Group Ltd.,Finance,Regional banks
EJPRY,East Japan Railway Co.,Transportation,Railroads
HBANP,Huntington Bancshares Incorporated - Depositary Shares 4.500% Series H Non-Cumulative Perpetual Preferred Stock,Finance,Major banks
HBAN,Huntington Bancshares Incorporated,Finance,Major banks
HBANM,Huntington Bancshares Incorporated - Depositary Shares each representing a 1/1000th interest in a share of Huntington Series I Preferred Stock,Finance,Major banks
HBANL,"Huntington Bancshares Incorporated - Depositary Shares, Each Representing a 1/40th Interest in a Share of 6.875% Series J Non-Cumulative Perpetual Preferred Sto",Finance,Major banks
ELEZF,Endesa S.A.,Utilities,Electric utilities
EPOKY,Epiroc Aktiebolag,Producer manufacturing,Trucks/Construction/Farm machinery
RNMBY,Rheinmetall AG,Electronic technology,Aerospace & defense
WSPOF,WSP Global Inc,Industrial services,Engineering & construction
BAM,Brookfield Asset Management Inc,Finance,Investment managers
NIPNF,NEC Corp.,Technology services,Information technology services
PTC,PTC Inc.,Technology services,Packaged software
EBKDY,Erste Group Bank AG,Finance,Major banks
STE,STERIS plc (Ireland),Health technology,Medical specialties
TTDKF,TDK Corp.,Electronic technology,Electronic components
CCOZY,"China Coal Energy Co., Ltd.",Energy minerals,Coal
RNMBF,Rheinmetall AG,Electronic technology,Aerospace & defense
CMCLF,CMOC GROUP LTD,Distribution services,Wholesale distributors
CINF,Cincinnati Financial Corporation,Finance,Multi-line insurance
CBOE,"Cboe Global Markets, Inc.",Finance,Investment banks/Brokers
FSLR,"First Solar, Inc.",Electronic technology,Semiconductors
RYAAY,Ryanair Holdings plc,Transportation,Airlines
WRB/PF,W.R. Berkley Corporation 5.10% Subordinated Debentures due 2059,Finance,Property/Casualty insurance
WRB,W.R. Berkley Corporation,Finance,Property/Casualty insurance
WRB/PH,W.R. Berkley Corporation 4.125% Subordinated Debentures due 2061,Finance,Property/Casualty insurance
WRB/PE,W.R. Berkley Corporation 5.70% Subordinated Debentures due 2058,Finance,Property/Casualty insurance
WRB/PG,W.R. Berkley Corporation 4.25% Subordinated Debentures due 2060,Finance,Property/Casualty insurance
SCHYY,Sands China Ltd,Consumer services,Casinos/Gaming
ASBFY,Associated British Foods plc,Consumer non-durables,Food: major diversified
EPIAF,Epiroc Aktiebolag,Producer manufacturing,Trucks/Construction/Farm machinery
EBKOF,Erste Group Bank AG,Finance,Major banks
KSPI,Joint Stock Company Kaspi.kz - American Depository Shares,Finance,Finance/Rental/Leasing
SYF,Synchrony Financial,Finance,Finance/Rental/Leasing
SYF/PA,"Synchrony Financial Depositary Shares, each Representing a 1/40th Interest in a Share of 5.625% Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series A",Finance,Finance/Rental/Leasing
SYF/PB,"Synchrony Financial Depositary Shares Each Representing a 1/40th Interest in a Share of 8.250% Fixed Rate Reset Non-Cumulative Perpetual Preferred Stock, Series",Finance,Finance/Rental/Leasing
LII,"Lennox International, Inc.",Producer manufacturing,Industrial machinery
ATO,Atmos Energy Corporation,Utilities,Gas distributors
RF/PE,"Regions Financial Corporation Depositary Shares, Each Representing a 1/40th Interest in a Share of 4.45% Non-Cumulative Perpetual Preferred Stock, Series E",Finance,Major banks
RF/PF,"Regions Financial Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of Non-Cumulative Perpetual Preferred Stock, Series F",Finance,Major banks
RF,Regions Financial Corporation,Finance,Major banks
RF/PC,"Regions Financial Corporation Depositary Shares, each Representing a 1/40th Interest in a Share of 5.700% Fixed-to-Floating Rate Non-Cumulative Perpetual Pref",Finance,Major banks
ZBH,"Zimmer Biomet Holdings, Inc.",Health technology,Medical specialties
SVNLF,Svenska Handelsbanken AB PUBL,Finance,Major banks
SAUHY,Straumann Holding AG,Health technology,Medical specialties
SONVY,Sonova Holding AG,Health technology,Medical specialties
TDY,Teledyne Technologies Incorporated,Electronic technology,Aerospace & defense
HOOD,"Robinhood Markets, Inc.",Finance,Investment banks/Brokers
NTDTY,NTT DATA GROUP CORPORATION,Commercial services,Miscellaneous commercial services
CKHGY,Capitec Bank Holdings Ltd,Finance,Regional banks
MKC,"McCormick & Company, Incorporated",Consumer non-durables,Food: specialty/candy
MKC.V,"McCormick & Company, Incorporated",Consumer non-durables,Food: specialty/candy
NHOLF,Sompo Hldgs Inc,Finance,Multi-line insurance
LPLA,LPL Financial Holdings Inc.,Finance,Investment banks/Brokers
CRZBY,Commerzbank AG,Finance,Regional banks
SVTMF,SM Investments Corp.,Retail trade,Department stores
ASX,"ASE Technology Holding Co., Ltd.",Electronic technology,Semiconductors
SMPNY,Sompo Hldgs Inc,Finance,Multi-line insurance
SONVF,Sonova Holding AG,Health technology,Medical specialties
WNGRF,Weston George Ltd. (Canada),Retail trade,Food retail
EME,"EMCOR Group, Inc.",Industrial services,Engineering & construction
NPSCY,Nippon Steel Corporation,Non-energy minerals,Steel
FMXUF,Fomento Economico Mexicano SAB,Consumer non-durables,Beverages: non-alcoholic
FMX,Fomento Economico Mexicano S.A.B. de C.V.,Consumer non-durables,Beverages: non-alcoholic
PCRFF,Panasonic Holdings Corporation,Consumer durables,Electronics/Appliances
EXPE,"Expedia Group, Inc.",Consumer services,Other consumer services
GBERY,Geberit AG,Producer manufacturing,Building products
SVNLY,Svenska Handelsbanken AB PUBL,Finance,Major banks
STLD,"Steel Dynamics, Inc.",Non-energy minerals,Steel
PWCDF,Power Corp. of Canada,Finance,Multi-line insurance
PCRHY,Panasonic Holdings Corporation,Consumer durables,Electronics/Appliances
BF.A,Brown Forman Inc,Consumer non-durables,Beverages: alcoholic
BF.B,Brown Forman Inc,Consumer non-durables,Beverages: alcoholic
CMSA,CMS Energy Corporation 5.625% Junior Subordinated Notes due 2078,Utilities,Electric utilities
CMS/PC,"CMS Energy Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 4.200% Cumulative Redeemable Perpetual Preferred Stock, Series C",Utilities,Electric utilities
CMS,CMS Energy Corporation,Utilities,Electric utilities
CMSD,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2079,Utilities,Electric utilities
CMSC,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2078,Utilities,Electric utilities
CJPRY,Central Japan Railway Co.,Transportation,Other transportation
PRYMY,Prysmian S.P.A.,Producer manufacturing,Electrical products
WUXAY,Wuxi Apptec Co Ltd.,Health technology,Pharmaceuticals: major
RCIAF,"Rogers Communications, Inc.",Communications,Wireless telecommunications
PRYMF,Prysmian S.P.A.,Producer manufacturing,Electrical products
SAUHF,Straumann Holding AG,Health technology,Medical specialties
CLX,Clorox Company (The),Consumer non-durables,Household/Personal care
